id,name,symbol,slug,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,quote
2994,Bitcoin File,BIFI,bitcoin-file,,21050000000,,2018-07-28T00:00:00.000Z,3,1776,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.00434204802893, 'volume_24h': 33093.5219085823, 'percent_change_1h': 1.34021, 'percent_change_24h': 22.197, 'percent_change_7d': -10.6752, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
2632,Monero Original,XMO,monero-original,,16461400.1376888,,2018-04-20T00:00:00.000Z,3,1777,2018-10-04T07:42:41.000Z,"{'USD': {'price': 1.40493265823, 'volume_24h': 32843.5048422844, 'percent_change_1h': 0.613809, 'percent_change_24h': -1.79117, 'percent_change_7d': 8.65726, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:41.000Z'}}"
3067,XTRD,XTRD,xtrd,,952457688,,2018-08-02T00:00:00.000Z,2,1778,2018-10-04T07:42:46.000Z,"{'USD': {'price': 0.00342628881563, 'volume_24h': 31971.1538904668, 'percent_change_1h': 0.48308, 'percent_change_24h': 7.2432, 'percent_change_7d': 17.0454, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:46.000Z'}}"
2908,HashCoin,HSC,hashcoin,,50000000000,,2018-07-09T00:00:00.000Z,3,1779,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.000372373699277, 'volume_24h': 31482.8178044144, 'percent_change_1h': 0.561589, 'percent_change_24h': -2.26224, 'percent_change_7d': 0.0651721, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
3378,Labh Coin,LABH,labh-coin,,426578401.410176,50000000000,2018-10-03T00:00:00.000Z,2,1780,2018-10-04T07:42:50.000Z,"{'USD': {'price': 0.00311320386535, 'volume_24h': 31306.4980635081, 'percent_change_1h': -15.6141, 'percent_change_24h': None, 'percent_change_7d': None, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:50.000Z'}}"
2072,SegWit2x,B2X,segwit2x,,16879800,21000000,2017-10-20T00:00:00.000Z,8,1781,2018-10-04T07:42:35.000Z,"{'USD': {'price': 0.140653329463, 'volume_24h': 30764.9404263746, 'percent_change_1h': -0.262371, 'percent_change_24h': -16.5618, 'percent_change_7d': -11.486, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:35.000Z'}}"
2997,DIPNET,DPN,dipnet,,10000000000,,2018-07-31T00:00:00.000Z,4,1782,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.00259170840168, 'volume_24h': 29588.0291836808, 'percent_change_1h': 5.37949, 'percent_change_24h': -9.79375, 'percent_change_7d': 22.0725, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
2517,Animation Vision Cash,AVH,animation-vision-cash,,10000000000,,2018-02-10T00:00:00.000Z,4,1783,2018-10-04T07:42:40.000Z,"{'USD': {'price': 0.00131368471891, 'volume_24h': 26471.4603435318, 'percent_change_1h': -0.0574603, 'percent_change_24h': 1.69741, 'percent_change_7d': -8.25022, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:40.000Z'}}"
3111,PayDay Coin,PDX,payday-coin,,39743038.448298,,2018-08-28T00:00:00.000Z,2,1784,2018-10-04T07:42:46.000Z,"{'USD': {'price': 1.31171289909, 'volume_24h': 25077.1168143209, 'percent_change_1h': 0.242349, 'percent_change_24h': 3.75793, 'percent_change_7d': -29.7766, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:46.000Z'}}"
2433,IPChain,IPC,ipchain,,96000000,,2018-01-20T00:00:00.000Z,3,1785,2018-10-04T07:42:34.000Z,"{'USD': {'price': 0.179603001186, 'volume_24h': 24910.0912847178, 'percent_change_1h': -0.0507337, 'percent_change_24h': 0.4822, 'percent_change_7d': 3.2134, 'market_cap': 0, 'last_updated': '2018-10-04T07:42:34.000Z'}}"
